event_id,mandate_id,customer_id,bank,mandate_type,segment,event_ts,billing_cycle,amount,mandate_reliability,raw_error_code,true_cause
EVT-42-00000,MND-00118,CUST-00118,HDFC,UPI_AUTOPAY,HDFC:UPI_AUTOPAY,2026-08-11 00:23:04+00:00,2026-08,199,0.953,BANK_NOT_AVAILABLE,bank_downtime
EVT-42-00001,MND-00018,CUST-00018,AXIS,UPI_AUTOPAY,AXIS:UPI_AUTOPAY,2026-07-21 06:11:04+00:00,2026-07,4999,0.615,PER_TXN_LIMIT_EXCEEDED,payer_limit_exceeded
EVT-42-00002,MND-00062,CUST-00062,ICICI,UPI_AUTOPAY,ICICI:UPI_AUTOPAY,2026-08-17 18:49:30+00:00,2026-08,999,0.804,BANK_NOT_AVAILABLE,bank_downtime
EVT-42-00003,MND-00017,CUST-00017,HDFC,UPI_AUTOPAY,HDFC:UPI_AUTOPAY,2026-08-04 09:49:20+00:00,2026-08,999,0.765,U90,technical_decline
EVT-42-00004,MND-00081,CUST-00081,ICICI,UPI_AUTOPAY,ICICI:UPI_AUTOPAY,2026-08-25 09:07:22+00:00,2026-08,199,0.788,U30,bank_downtime
EVT-42-00005,MND-00133,CUST-00133,SBI,UPI_AUTOPAY,SBI:UPI_AUTOPAY,2026-07-23 08:19:03+00:00,2026-07,2999,0.649,U68,technical_decline
EVT-42-00006,MND-00011,CUST-00011,AXIS,UPI_AUTOPAY,AXIS:UPI_AUTOPAY,2026-08-13 23:24:00+00:00,2026-08,199,0.622,AUTH_TIMEOUT,authentication_failure
EVT-42-00007,MND-00057,CUST-00057,HDFC,UPI_AUTOPAY,HDFC:UPI_AUTOPAY,2026-08-15 16:48:54+00:00,2026-08,499,0.803,UMN,mandate_revoked
EVT-42-00008,MND-00140,CUST-00140,AXIS,UPI_AUTOPAY,AXIS:UPI_AUTOPAY,2026-08-04 03:29:22+00:00,2026-08,2999,0.636,U16,payer_limit_exceeded
EVT-42-00009,MND-00043,CUST-00043,ICICI,UPI_AUTOPAY,ICICI:UPI_AUTOPAY,2026-08-08 18:12:26+00:00,2026-08,199,0.918,U16,payer_limit_exceeded
EVT-42-00010,MND-00019,CUST-00019,ICICI,UPI_AUTOPAY,ICICI:UPI_AUTOPAY,2026-07-23 16:48:27+00:00,2026-07,999,0.849,U90,technical_decline
EVT-42-00011,MND-00070,CUST-00070,AXIS,UPI_AUTOPAY,AXIS:UPI_AUTOPAY,2026-08-07 16:15:37+00:00,2026-08,999,0.953,INSUFFICIENT_FUNDS,insufficient_funds
EVT-42-00012,MND-00073,CUST-00073,HDFC,UPI_AUTOPAY,HDFC:UPI_AUTOPAY,2026-08-07 19:44:34+00:00,2026-08,199,0.665,MANDATE_REVOKED_BY_PAYER,mandate_revoked
EVT-42-00013,MND-00095,CUST-00095,ICICI,UPI_AUTOPAY,ICICI:UPI_AUTOPAY,2026-08-26 20:16:10+00:00,2026-08,499,0.898,U30,bank_downtime
EVT-42-00014,MND-00045,CUST-00045,AXIS,UPI_AUTOPAY,AXIS:UPI_AUTOPAY,2026-08-30 15:40:18+00:00,2026-08,499,0.859,MANDATE_REVOKED_BY_PAYER,mandate_revoked
EVT-42-00015,MND-00137,CUST-00137,HDFC,UPI_AUTOPAY,HDFC:UPI_AUTOPAY,2026-08-13 03:01:00+00:00,2026-08,2999,0.768,BANK_NOT_AVAILABLE,bank_downtime
EVT-42-00016,MND-00075,CUST-00075,ICICI,UPI_AUTOPAY,ICICI:UPI_AUTOPAY,2026-07-17 23:57:48+00:00,2026-07,4999,0.774,UMN,mandate_revoked
EVT-42-00017,MND-00041,CUST-00041,AXIS,UPI_AUTOPAY,AXIS:UPI_AUTOPAY,2026-07-20 17:12:08+00:00,2026-07,4999,0.799,UMN,mandate_revoked
EVT-42-00018,MND-00138,CUST-00138,ICICI,UPI_AUTOPAY,ICICI:UPI_AUTOPAY,2026-08-02 22:32:42+00:00,2026-08,199,0.849,U14,insufficient_funds
EVT-42-00019,MND-00133,CUST-00133,SBI,UPI_AUTOPAY,SBI:UPI_AUTOPAY,2026-08-02 10:31:28+00:00,2026-08,199,0.649,UMN,mandate_revoked
EVT-42-00020,MND-00071,CUST-00071,HDFC,UPI_AUTOPAY,HDFC:UPI_AUTOPAY,2026-08-13 17:59:09+00:00,2026-08,199,0.796,PER_TXN_LIMIT_EXCEEDED,payer_limit_exceeded
EVT-42-00021,MND-00003,CUST-00003,ICICI,UPI_AUTOPAY,ICICI:UPI_AUTOPAY,2026-08-23 04:59:34+00:00,2026-08,999,0.671,PER_TXN_LIMIT_EXCEEDED,payer_limit_exceeded
EVT-42-00022,MND-00085,CUST-00085,SBI,UPI_AUTOPAY,SBI:UPI_AUTOPAY,2026-08-30 09:57:35+00:00,2026-08,199,0.834,U14,insufficient_funds
EVT-42-00023,MND-00079,CUST-00079,SBI,UPI_AUTOPAY,SBI:UPI_AUTOPAY,2026-08-15 05:11:18+00:00,2026-08,499,0.935,MANDATE_REVOKED_BY_PAYER,mandate_revoked
EVT-42-00024,MND-00021,CUST-00021,ICICI,UPI_AUTOPAY,ICICI:UPI_AUTOPAY,2026-08-16 08:45:44+00:00,2026-08,4999,0.714,TECHNICAL_ERROR,technical_decline
EVT-42-00025,MND-00091,CUST-00091,AXIS,UPI_AUTOPAY,AXIS:UPI_AUTOPAY,2026-08-22 13:28:44+00:00,2026-08,4999,0.566,U69,bank_downtime
EVT-42-00026,MND-00121,CUST-00121,SBI,UPI_AUTOPAY,SBI:UPI_AUTOPAY,2026-08-19 03:20:13+00:00,2026-08,4999,0.907,U69,bank_downtime
EVT-42-00027,MND-00015,CUST-00015,AXIS,UPI_AUTOPAY,AXIS:UPI_AUTOPAY,2026-08-29 12:34:12+00:00,2026-08,499,0.749,BANK_NOT_AVAILABLE,bank_downtime
EVT-42-00028,MND-00104,CUST-00104,AXIS,UPI_AUTOPAY,AXIS:UPI_AUTOPAY,2026-08-03 01:12:06+00:00,2026-08,2999,0.737,MANDATE_SUSPENDED,mandate_paused
EVT-42-00029,MND-00020,CUST-00020,SBI,UPI_AUTOPAY,SBI:UPI_AUTOPAY,2026-07-20 00:07:38+00:00,2026-07,2999,0.742,INSUFFICIENT_FUNDS,insufficient_funds
EVT-42-00030,MND-00107,CUST-00107,SBI,UPI_AUTOPAY,SBI:UPI_AUTOPAY,2026-07-30 09:51:49+00:00,2026-07,199,0.872,PER_TXN_LIMIT_EXCEEDED,payer_limit_exceeded
